iter	Passed	Remaining
0	176	176172
1	177	88550
2	179	59709
3	181	45147
4	182	36305
5	183	30387
6	184	26190
7	185	23052
8	186	20590
9	188	18626
10	189	17015
11	190	15693
12	193	14672
13	194	13725
14	195	12870
15	197	12127
16	198	11476
17	199	10891
18	200	10360
19	201	9888
20	205	9600
21	208	9250
22	209	8900
23	210	8571
24	211	8262
25	213	7984
26	214	7721
27	215	7473
28	216	7251
29	218	7054
30	221	6929
31	224	6785
32	225	6614
33	227	6458
34	228	6307
35	230	6168
36	231	6032
37	233	5913
38	238	5887
39	240	5778
40	242	5665
41	245	5593
42	246	5488
43	248	5391
44	249	5300
45	250	5203
46	252	5111
47	253	5027
48	256	4982
49	259	4932
50	260	4854
51	261	4776
52	263	4704
53	264	4633
54	268	4615
55	269	4550
56	271	4487
57	272	4424
58	273	4363
59	275	4309
60	276	4256
61	277	4202
62	279	4155
63	281	4111
64	282	4063
65	283	4017
66	285	3972
67	286	3925
68	287	3879
69	289	3839
70	291	3809
71	292	3775
72	295	3746
73	296	3710
74	297	3671
75	299	3642
76	300	3606
77	302	3572
78	303	3537
79	304	3505
80	309	3506
81	311	3486
82	312	3449
83	313	3418
84	314	3389
85	316	3359
86	317	3330
87	318	3305
88	320	3281
89	322	3258
90	323	3231
91	324	3206
92	328	3205
93	332	3204
94	335	3197
95	338	3183
96	340	3166
97	341	3142
98	342	3119
99	344	3099
100	346	3081
101	348	3063
102	352	3068
103	355	3065
104	357	3044
105	358	3024
106	359	3004
107	361	2985
108	362	2965
109	364	2945
110	366	2939
111	369	2933
112	371	2917
113	373	2899
114	374	2884
115	377	2873
116	378	2855
117	382	2861
118	385	2854
119	387	2838
120	388	2822
121	389	2804
122	391	2789
123	392	2774
124	394	2760
125	397	2757
126	399	2743
127	400	2729
128	402	2716
129	403	2702
130	405	2688
131	406	2674
132	408	2659
133	411	2656
134	412	2645
135	415	2638
136	417	2629
137	418	2616
138	420	2603
139	421	2591
140	423	2579
141	424	2565
142	429	2574
143	431	2564
144	433	2553
145	434	2542
146	437	2539
147	444	2556
148	446	2548
149	448	2539
150	450	2530
151	452	2524
152	457	2531
153	461	2533
154	462	2523
155	464	2511
156	466	2502
157	467	2491
158	473	2504
159	477	2504
160	478	2492
161	480	2483
162	481	2473
163	483	2463
164	485	2454
165	487	2451
166	490	2445
167	491	2435
168	493	2425
169	494	2414
170	496	2405
171	497	2396
172	501	2399
173	504	2396
174	506	2387
175	508	2378
176	509	2369
177	511	2361
178	513	2353
179	517	2356
180	520	2356
181	522	2348
182	524	2343
183	526	2334
184	528	2326
185	533	2336
186	535	2329
187	537	2322
188	539	2314
189	541	2307
190	543	2300
191	546	2301
192	548	2293
193	550	2287
194	552	2280
195	554	2272
196	556	2266
197	560	2270
198	564	2271
199	566	2265
200	568	2259
201	570	2253
202	572	2246
203	578	2256
204	580	2251
205	582	2246
206	584	2240
207	586	2232
208	588	2226
209	592	2230
210	594	2223
211	596	2217
212	600	2218
213	602	2213
214	604	2207
215	608	2206
216	609	2200
217	611	2193
218	613	2186
219	614	2179
220	616	2173
221	618	2166
222	623	2171
223	624	2164
224	626	2158
225	628	2152
226	630	2147
227	632	2141
228	634	2137
229	636	2132
230	640	2131
231	642	2127
232	644	2121
233	646	2115
234	648	2111
235	653	2115
236	655	2110
237	656	2103
238	658	2097
239	660	2091
240	662	2085
241	664	2081
242	667	2080
243	669	2074
244	671	2070
245	673	2064
246	675	2059
247	677	2053
248	680	2052
249	682	2046
250	684	2041
251	685	2035
252	687	2030
253	689	2024
254	691	2019
255	693	2015
256	697	2016
257	699	2011
258	701	2006
259	703	2001
260	704	1995
261	706	1989
262	710	1991
263	713	1988
264	715	1985
265	717	1978
266	718	1973
267	720	1966
268	721	1960
269	724	1958
270	725	1952
271	727	1947
272	729	1942
273	731	1937
274	732	1931
275	734	1926
276	735	1920
277	740	1923
278	742	1919
279	744	1914
280	746	1908
281	747	1903
282	749	1898
283	750	1893
284	755	1894
285	757	1889
286	758	1885
287	761	1881
288	763	1878
289	765	1873
290	766	1868
291	769	1866
292	771	1862
293	773	1857
294	775	1852
295	777	1849
296	779	1845
297	781	1842
298	784	1839
299	788	1839
300	790	1834
301	792	1830
302	794	1826
303	797	1826
304	804	1833
305	808	1833
306	813	1837
307	819	1840
308	822	1838
309	824	1835
310	831	1841
311	835	1842
312	839	1843
313	847	1850
314	853	1856
315	856	1854
316	870	1875
317	872	1871
318	886	1892
319	889	1890
320	899	1901
321	901	1898
322	903	1894
323	906	1890
324	914	1899
325	920	1902
326	924	1901
327	928	1903
328	931	1898
329	935	1899
330	939	1898
331	942	1896
332	946	1895
333	949	1892
334	956	1899
335	958	1894
336	962	1893
337	965	1891
338	971	1894
339	973	1890
340	975	1886
341	978	1883
342	980	1878
343	987	1882
344	988	1877
345	990	1872
346	993	1870
347	997	1868
348	1000	1866
349	1003	1863
350	1005	1858
351	1007	1854
352	1009	1850
353	1011	1845
354	1015	1844
355	1017	1841
356	1019	1837
357	1021	1832
358	1027	1834
359	1030	1832
360	1032	1827
361	1034	1822
362	1036	1819
363	1038	1814
364	1039	1809
365	1042	1806
366	1046	1804
367	1048	1800
368	1050	1795
369	1051	1790
370	1053	1786
371	1055	1781
372	1059	1780
373	1061	1776
374	1063	1771
375	1064	1767
376	1066	1762
377	1068	1757
378	1069	1752
379	1071	1747
380	1073	1744
381	1076	1742
382	1078	1737
383	1080	1733
384	1082	1728
385	1083	1723
386	1085	1719
387	1089	1717
388	1091	1714
389	1093	1710
390	1094	1705
391	1096	1700
392	1098	1696
393	1099	1691
394	1105	1692
395	1107	1688
396	1108	1684
397	1110	1679
398	1112	1675
399	1113	1670
400	1115	1666
401	1119	1665
402	1122	1662
403	1124	1658
404	1126	1654
405	1127	1649
406	1129	1645
407	1130	1640
408	1133	1638
409	1135	1633
410	1137	1629
411	1139	1625
412	1141	1622
413	1143	1618
414	1145	1614
415	1148	1612
416	1151	1609
417	1152	1605
418	1154	1601
419	1156	1597
420	1159	1595
421	1163	1593
422	1166	1590
423	1168	1586
424	1169	1582
425	1171	1578
426	1172	1573
427	1174	1569
428	1175	1565
429	1178	1561
430	1179	1557
431	1181	1553
432	1183	1549
433	1185	1545
434	1186	1540
435	1187	1536
436	1188	1531
437	1190	1527
438	1192	1524
439	1194	1520
440	1195	1515
441	1197	1511
442	1198	1507
443	1200	1502
444	1201	1498
445	1202	1493
446	1204	1489
447	1205	1485
448	1207	1481
449	1208	1477
450	1210	1473
451	1211	1468
452	1212	1464
453	1213	1459
454	1215	1455
455	1216	1451
456	1217	1446
457	1218	1442
458	1220	1437
459	1221	1434
460	1223	1429
461	1224	1425
462	1225	1421
463	1226	1417
464	1228	1412
465	1229	1408
466	1230	1404
467	1232	1400
468	1233	1396
469	1234	1392
470	1236	1388
471	1237	1384
472	1238	1380
473	1239	1375
474	1241	1371
475	1242	1367
476	1243	1363
477	1244	1359
478	1246	1355
479	1247	1351
480	1248	1347
481	1250	1343
482	1251	1339
483	1253	1336
484	1254	1332
485	1255	1328
486	1257	1324
487	1258	1320
488	1259	1316
489	1260	1312
490	1262	1308
491	1263	1304
492	1265	1301
493	1266	1297
494	1267	1293
495	1269	1289
496	1270	1286
497	1272	1282
498	1273	1278
499	1274	1274
500	1275	1270
501	1277	1266
502	1278	1263
503	1279	1259
504	1281	1256
505	1283	1252
506	1284	1248
507	1285	1245
508	1287	1241
509	1288	1237
510	1289	1234
511	1290	1230
512	1292	1226
